user_message,expected_message,generated_message
"B1: Opozorila Na hitri cesti Izola - Koper je ponovno odprt in prevozen izvoz Semedela iz smeri Portoroža proti Ljubljani. Delo na cesti Na ljubljanski obvoznici, na razcepu Zadobrova iz smeri Štajerske proti Novim Jaršam sta nocoj predvideni dve polurni popolni zapori, ob polnoči in ob 1.30 uri. Cesta Litija - Zagorje bo zaradi izgradnje galerije pri Šklendrovcu zaprta od 20. do 25. februarja, vsak dan od 7:30 do 13:30 ter nato še vsako soboto do septembra 2023. Cesta Vrhnika - Horjul bo med Veliko Ligojno in Horjulom zaprta v soboto, 18. 2. 2023, od 7. do 19. ure. Več o delovnih zaporah v prometni napovedi. Vreme Prelaz Vršič je prevozen za osebna vozila. Prireditve Cesta Rateče - Planica bo do 6. 3. 2023 zaprta.","Na štajerski avtocesti proti Mariboru je zaradi del nastal krajši zastoj med priključkom Trojane in predorom Jasovnik. Opozarjamo na nevarnost naleta.
V nasprotni smeri je pred predorom Jasovnik obtičal tovornjak. Na primorski avtocesti proti Kopru je zaradi pokvarjenega tovornjaka promet oviran med Brezovico in Vrhniko.
Proti Ljubljani so odstranili posledice nesreče med priključkom Divača in razcepom Gabrk.",Na primorski avtocesti proti Ljubljani je zaradi del zaprt vozni pas med priključkoma Senožeče in Razdrto. Zaradi del je na štajerski avtocesti proti Mariboru zaprt prehitevalni pas med priključkoma Celje vzhod in Dramlje.
"B1: Zimske razmere Prelaz Vršič je zaprt. Na avstrijski strani prelaza Korensko sedlo so obvezne verige. Vreme Ponekod po Sloveniji megla zmanjšuje vidljivost. Na vipavski hitri cesti je med Nanosom in Selom prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami do 8 ton, burja 1. stopnje.","Zaradi burje je na vipavski hitri cesti med razcepom Nanos in priključkom Selo prepovedan promet za hladilnike in vozila s ponjavami, lažja od 8 ton. Zaprt je prelaz Vršič, na avstrijski strani prelaza Korensko sedlo pa so obvezne verige. Ponekod po državi je zaradi megle zmanjšana vidljivost.","Na vipavski hitri cesti je med Nanosom in Selom prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami do 8 ton, burja 1. stopnje."
"B1: Zastoji Zaradi jutranje prometne konice je promet povečan na mestnih obvoznicah in cestah, ki vodijo proti mestnim središčem. Zaradi del: - Na gorenjski avtocesti med Brnikom in Vodicami proti Ljubljani. - Na mariborski vzhodni obvoznici med razcepom Dragučova in pokritim vkopom Malečnik proti Slivnici. Delo na cesti Na dolenjski avtocesti je zaprt uvoz Bič proti Novemu mestu. Popolna zapora Ljubljana - Zagorje ob Savi: - Na odseku Ljubljana - Litija, pri Beričevem, poteka obnova vozišča. Popolna zapora bo vsak vikend do konca meseca. - Na odseku Litija - Zagorje ob Savi bodo pri Šklendrovcu popolne zapore do četrtka, 10. oktobra, vsak dan med 8. in 17. uro. Cesta Podpeč - Brezovica bo v Notranjih Goricah zaprta od petka 11. 10., od 22. ure, do ponedeljka, 14. 10., do 5. ure. Več o delovnih zaporah v prometni napovedi. Opozorila Cesta čez prelaz Ljubelj bo zaradi reševalne vaje zaprta v petek, 11. 10., med 12.30 in 21. uro. Vreme Zaradi poplavljenega vozišča je zaprta cesta Dolenja vas - Gotenica, pri Grčaricah. Zimske razmere: - Na cesti čez prelaz Vršič je obvezna zimska oprema. - Zaprta je cesta Strmec - Mangart.",nan,Na dolenjski avtocesti proti Obrežju je zaradi del zaprt uvoz Bič. Na gorenjski avtocesti proti Ljubljani je zaradi del zaprt vozni pas med Brnikom in Vodicami.
"B1: Delo na cesti Dela na gorenjski avtocesti med Brezjami in Lescami. V noči na sredo bo zaprt predor Šentvid na gorenjski avtocesti proti Kranju, v noči na petek pa proti Ljubljani med 20. in 5. uro. Obvoz bo po Celovški cesti. Do predvidoma 23. januarja 2023 bo zaprta cesta Žaga - Kobarid v Kobaridu. Vsakih 14 dni bo promet 3 dni urejen izmenično enosmerno. Več o delovnih zaporah, prometna napoved.",Na primorski avtocesti proti Kopru je zaradi pokvarjenih vozil oviran promet med Logatcem in Uncem ter pred priključkom Postojna. Zaradi del je promet na gorenjski avtocesti med priključkoma Lesce in Podtabor urejen dvosmerno po polovici avtoceste. Proti Ljubljani je zaprt tudi izvoz Brezje. Na mejnem prehodu Gruškovje je povečan promet osebnih in tovornih vozil pri izstopu iz države.,"Na območju rdeče stopnje je prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami, na območju oranžne stopnje pa je prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami, lažja od 8 ton.
<|user|>
B3: Še vreme Na Primorskem je zaradi burje razglašena rdeča stopnja ogroženosti. Na območju rdeče stopnje je prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami. Na območju oranžne stopnje je prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami, lažja od 8 ton."
"B1: Zastoji Na štajerski avtocesti od Domžal proti Ljubljani. Na cestah od Pijave Gorice, Iga, Mednega in Trzina proti Ljubljani, na cestah Dol - Šentjakob in Mengeš - Moste. Dela Na ljubljanski severni obvoznici sta zaprta uvoz Nove Jarše proti Zadobrovi in servisna cesta med Bratislavsko in Leskoškovo cesto. Obvoz je urejen preko Bratislavske in Letališke ceste do vzhodne obvoznice. Primorska avtocesta bo zaradi del v predoru Dekani zaprta med 21. in 5. uro med razcepom Srmin in priključkom Črni Kal v obe smeri, 15., 16. in 17. marca. Obvoz bo po regionalni cesti. Na gorenjski avtocesti bo promet skozi predor Karavanke, urejen izmenično enosmerno s čakanjem pred predorom, med 8. in 16. uro, 15., 16. in 17. marca. Omejitev tovornega prometa Do preklica po Sloveniji na nedelje, praznike in petek pred veliko nočjo ne bo prepovedi prometa za tovorna vozila nad 7,5 t, ki bodo izvajala prevoze iz razloga reševanja človeških življenj, preprečitve neposredne nevarnosti za premoženje ter prevoza humanitarne pomoči za Ukrajino. Več. Zaradi državnega praznika,15. marca, bo na Madžarskem za tovorna vozila nad 7,5 tone promet prepovedan danes med 8. in 22. uro.",Na dolenjski avtocesti proti Ljubljani promet zaradi nesreče ni več oviran med priključkoma Trebnje zahod in Bič. Zaradi del pa je na primorski avtocesti zaprt prehitevalni pas pred razcepom Srmin proti Kopru.,Generation failed
"A1: Pozor! Zaradi močnega vetra je primorska avtocesta zaprta med priključkoma Kastelec in Kozina proti Ljubljani. Zaprt je tudi uvoz Kastelec proti Ljubljani. Obvoz je možen po vzporedni cesti med priključkoma Kastelec in Kozina. B1: Ovire Na gorenjski avtocesti je zaradi okvare vozila promet oviran med počivališčem Radovljica in priključkom Lesce proti Karavankam. Mejni prehodi Čakalna doba je na mejnih prehodih Obrežje in Gruškovje. Vreme Burja: - Na vipavski hitri cesti je med razcepom Nanos in priključkom Selo prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami do 8 ton, 1. stopnja. - Na regionalni cesti Vipava - Ajdovščina je promet prepovedan za počitniške prikolice, hladilnike in vsa vozila s ponjavami, 2. stopnja. Zaradi zimskih razmer je cesta čez prelaz Vršič zaprta. Dela V noči na sredo, od 20. ure zvečer do 5. ure zjutraj, bo promet skozi predor Karavanke urejen izmenično enosmerno.","Zaradi močnih sunkov vetra je zaprta primorska avtocesta proti Ljubljani med priključkoma Kastelec in Kozina. Obvoz je po vzporedni regionalni cesti. Prav tako zaradi burje je na vipavski hitri cesti med Nanosom in priključkom Selo ter na vzporedni regionalni cesti med Ajdovščino in Vipavo prepovedan promet za hladilnike in vozila s ponjavami, lažja od 8 ton. Na dolenjski avtocesti proti Hrvaški je zaradi pokvarjenega vozila zaprt vozni pas med Grosupljim in Višnjo Goro. Na mejnem prehodu Obrežje vozniki osebnih vozil na vstop v Slovenijo čakajo pol ure, v Gruškovju pa vozniki tovornih vozil približno 2 uri.",Generation failed
"B1: Nesreče V Ljubljani, na Šmartinski cesti v križišču z Ameriško cesto proti avtocesti močno oviran promet. Cesta Vitanje - Stranice je zaprta na Stenici. V Novi Gorici je zaprta Cesta IX korpusa. Zastoji Na gorenjski avtocesti zaradi del med Brnikom in Vodicam proti Ljubljani, zamuda 5 - 10 minut. Promet je zaradi popoldanske prometne konice povečan na cestah, ki vodijo iz mestnih središč, na mestnih obvoznicah in pred delovnimi zaporami. Delovne zapore Cesta Spodnji Hotič - Vače - Kandrše bo zaprta do srede, vsak dan med 8. in 17. uro. Več o delovnih zaporah v prometni napovedi. Opozorila Do petka bo potekal izredni prevoz po regionalnih cestah iz Ljubljane proti Kopru.","Na gorenjski avtocesti je zaradi del proti Ljubljani zaprt prehitevalni pas med priključkoma Brnik in Vodice. Nastaja zastoj. Na štajerski avtocesti je zaradi del oviran promet med Vranskim in Trojanami pred predorom Jasovnik proti Ljubljani, proti Mariboru pa pred predorom Ločica.",Generation failed
"B1: Nesreče Zaprta cesta Podbrezje in Gobovce pri Podnartu. Opozorila Burja: - Na vipavski hitri cesti med razcepom Nanos in priključkom Ajdovščina prepoved prometa za kamp prikolice, hladilnike in vozila s ponjavami, 2. stopnja. - Na regionalni cesti Razdrto - Podnanos prepoved prometa za kamp prikolice, hladilnike in vozila s ponjavami do 8 ton, 1. stopnja. Mejni prehodi Čakalna doba je na Gruškovju. Dela Na štajerski avtocesti bo od 22.30 ure, do sobote do 22. ure, zaprt priključek Slovenska Bistrica sever proti Ljubljani (izvoz in uvoz). Na primorski avtocesti bo med Vrhniko in Brezovico proti Ljubljani, v soboto in nedeljo, promet potekal po enem prometnem pasu od sobote od 7. ure do nedelje do 16. ure. Na ljubljanski severni obvoznici sta zaprta uvoz Nove Jarše proti Zadobrovi in servisna cesta med Bratislavsko in Leskoškovo cesto. Obvoz je urejen preko Bratislavske in Letališke ceste do vzhodne obvoznice. V času prometnih konic na območju BTC-ja nastajajo zastoji.","Žival, ki je zašla na cestišče, ovira promet na primorski avtocesti med priključkom Senožeče in razcepom Gabrk proti Kopru. Zaradi burje je na vipavski hitri cesti med razcepom Nanos in Ajdovščino ter na regionalni cesti Razdrto-Podnanos prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami, lažja od 8 ton. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v Slovenijo. Zaradi del bo predvidoma od 22-ih in 30 minut do jutri do 22-ih na štajerski avtocesti zaprt priključek Slovenska Bistrica-sever proti Ljubljani.",Generation failed
"B1: Vreme Zaradi vode na vozišču je na podravski avtocesti zaprt priključek Zakl proti Mariboru, to je izvoz iz smeri Gruškovja in uvoz proti Mariboru. Cesta Ruše - Fala je zaradi zemeljskega plazu zaprta. Zaradi poplavljenega vozišča je zaprta cesta Lešje - Koritno v občini Majšperk. Zastoji Promet je povečan na cestah proti večjim mestom in na mestnih obvoznicah. Prireditve Prireditve ta konec tedna. Delo na cesti Na štajerski avtocesti med priključkoma Slovenska Bistrica sever in Fram promet poteka po dveh zoženih pasovih v obe smeri. Cesta Litija - Zagorje bo zaprta pri Šklendrovcu v soboto, 18. maja, med 7.30 in 17. uro. Več o delovnih zaporah v prometni napovedi.",nan,Generation failed
"B1: Nesreče Na regionalni cesti Lesce - Bled je oviran promet med krožiščem in avtocestnim priključkom. Na cesti Podčetrtek - Mestinje promet urejen izmenično enosmerno v Hajnskem. Delo na cesti Popolne zapore - obvozi so urejeni: - Na primorski avtocesti je zaprt uvoz Divača proti Kopru. Več. - Na gorenjski avtocesti je na priključku Vodice zaprt uvoz proti Karavankam. - Cerknica - Rakitna, med Cerknico in Begunjami pri Cerknici, do 15. oktobra. - Ljubljana - Šentvid - Vodice, v Tacnu, do 22. 12. 2022, obvoz je možen po avtocesti med priključkoma Brod in Šmartno v obe smeri, tudi za vozila brez vinjete. - Zaradi del na italijanski strani bodo na cesti čez prelaz Predel nočne popolne zapore, do 17. 10., med 19. in 6. uro. Delovne zapore, povezave: ljubljanska severna obvoznica. Na štajerski avtocesti bo predvidoma do 26. septembra zaprt bencinski servis na počivališču Lopata proti Ljubljani.","Na štajerski avtocesti proti Ljubljani je zaradi del 3 kilometre dolg zastoj med Vranskim in predorom Ločica. Potovalni čas se podaljša za približno 10 minut.
Proti Ljubljani je krajši zastoj med Blagovico in predorom Podmilj. Gost promet z zastoji je tudi na glavni cesti od Šmarij proti Kopru. Na podravski avtocesti proti Mariboru je pred priključkom Zakl obtičalo vozilo. Na mejnem prehodu Gruškovje vozniki tovornih vozil na vstop v državo čakajo 1 uro, na Obrežju pa do pol ure.",Generation failed
