user_message,expected_message,generated_message
"B1: Nesreče Na dolenjski avtocesti pred Kronovim proti Obrežju zaprt prehitevalni pas. Nastal je zastoj, zamuda 5- 10 minut. Zastoji Promet je zaradi popoldanske prometne konice povečan na cestah, ki vodijo iz mestnih središč in na mestnih obvoznicah. Delo na cesti Vipavska hitra cesta bo med Ajdovščino in Selom proti Italiji zaprta od petka, 3. marca od 18. ure, do ponedeljka, 6. marca do 5. ure. Zaprta bosta tudi uvoz Ajdovščina in izvoz Selo proti Italiji. Obvoz bo po vzporedni regionalni cesti. Na primorski avtocesti bo med Uncem in Logatcem proti Ljubljani zaprt vozni pas od sobote, od 7. do predvidoma 20. ure. Pričakujemo zastoje. V nedeljo zaprt vozni pas med Logatcem in Uncem proti Kopru, med 7. in predvidoma do 20. ure. Cesta Litija - Zagorje bo zaprta pri Šklendrovcu vsako soboto med 7:30 in 13:30 do septembra 2023. Cesta Štore - Svetina - Laško je zaprta v Laški vasi pri Štorah predvidoma do 1. 7. 2023. Več o delovnih zaporah v prometni napovedi. Zimske razmere Cesta čez prelaz Vršič je prevozna samo za osebna vozila z verigami.",Zastoj je na celotni južni ljubljanski obvoznici od Vrhnike proti Dolenjski ter na celotni severni ljubljanski obvoznici iz smeri Kosez proti Zadobrovi. Na štajerski avtocesti proti Mariboru je zaradi pokvarjenega vozila zaprt pas za počasna vozila med počivališčem Tepanje in priključkom Slovenska Bistrica-jug. V nasprotni smeri je zaradi pokvarjenega vozila promet oviran pred predorom Jasovnik. Na vipavski hitri cesti proti Razdrtemu je zaradi pokvarjenega vozila promet oviran na uvozu Ajdovščina.,Zaradi prometne nesreče je zaprta cesta čez prelaz Vršič. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo do 2 uri.
"B1: Zastoji Zaradi jutranje prometne konice je promet povečan na mestnih obvoznicah in cestah, ki vodijo proti mestnim središčem. Gneče, zastoji nastajajo predvsem na cestah ki vodijo proti Ljubljani. Sneg Zaradi zimskih razmer po večjem delu Slovenije prilagodite hitrost trenutnim razmeram na cesti. Na pot se odpravite le z ustrezno zimsko opremo vozila. Na cestah so plužne in posipne skupine, računajte na daljši čas potovanja. Cesti čez prelaz Vršič in Korensko Sedlo sta zaprti. Prepoved za priklopnike in polpriklopnike na cesti Ajdovščina - Col. Delo na cesti Več o delovnih zaporah v prometni napovedi.","Zaradi jutranje prometne konice so zastoji na štajerski avtocesti od Lukovice proti Ljubljani in na dolenjski avtocesti od Grosuplja proti Ljubljani. Na primorski avtocesti proti Ljubljani je zaradi pokvarjenega avtobusa zaprt vozni pas med priključkoma Logatec in Vrhnika. Čas potovanja se podaljša za 20 minut. 
 
Na cesti Ajdovščina-Col je prepovedan promet za tovorna vozila s priklopniki in polpriklopnike. Cesti čez prelaz Vršič in Korensko sedlo sta zaradi snega zaprti.","Na štajerski avtocesti je zaradi del zaprt vozni pas med priključkoma Celje-center in Celje-center proti Ljubljani. Na mejnem prehodu Gruškovje vozniki tovornih vozil na vstop v državo čakajo približno 2 uri, v Gruškovju pa 1 uro."
"B1: Delo na cesti Danes bo v Mariboru zaprta bivša hitra cesta Pesnica - Betnava proti Ljubljani med 9. in 10. uro in proti Šentilju med 12. in 13. uro. Na primorski avtocesti bo do 16. ure, promet med Postojno in Uncem proti Ljubljani, potekal po enem pasu. Cesta Litija - Zagorje bo zaradi izgradnje galerije pri Šklendrovcu zaprta naslednji teden od 20. do 25. februarja, vsak dan od 7:30 do 13:30 ter nato še vsako soboto do septembra 2023. Več o delovnih zaporah v prometni napovedi. Tovorni promet Danes velja omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 t med 8. in 22. uro. Prireditve Popolne zapore: - Unec - Bloška Polica, v Cerknici od 9:30 do 18. ure. - Podzemelj - Črnomelj, v Črnomlju od 15. do 16. ure. - Maribor - Ptuj, na Ptuju od 9. do 19. ure. - Cesta Rateče - Planica do 6. 3. 2023. Več o prireditvah.",nan,Na štajerski avtocesti je zaradi del zaprt vozni pas med priključkom Celje-center in priključkom Celje-zahod. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo do 2 uri.
"B1: Opozorila Med 8. in 22. uro velja omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 tone. Vreme Cesta čez prelaz Vršič je prevozna samo za osebna vozila z verigami. Delo na cesti Danes do 22. ure bo v Notranjih Goricah zaprta cesta Brezovica - Podpeč zaradi del na železniškem nadvozu. Na vipavski hitri cesti bo predvidoma do 15. decembra zaprt priključek Šempeter iz smeri Vrtojbe proti Nanosu. Napoved popolnih zapor: Cesta Dravograd - Otiški Vrh bo zaprta od torka, 6. decembra od 23. ure, do srede, 7. decembra, do 5. ure. V primeru slabega vremena zapora odpade. Več o delovnih zaporah v prometni napovedi.","Zaradi del je na vipavski hitri cesti proti razcepu Nanos zaprt priključek Šempeter, na gorenjski avtocesti pa je proti Ljubljani zaprt izvoz Brezje.. Na dolenjski avtocesti poteka promet med priključkoma Smednik in Kronovo v obe smeri le po eni polovici avtoceste. Proti Ljubljani je zaprt tudi priključek Dobruška vas,",Na štajerski avtocesti je zaradi del zaprt vozni pas med priključkom Celje-center in priključkom Celje-center proti Ljubljani. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo 1 uro.
"B1: Zastoji Zastoj tovornih vozil je na gorenjski avtocesti pred predorom Karavanke proti Avstriji, 4 kilometre. Zemeljski plaz Zaprta je cesta Črnivec - Radmirje, med Črnivcem in Novo Štifto. Delo na cesti V Kranju promet poteka izmenično enosmerno na cesti preko Savskega otoka (Kidričeva-Iskra/Stara cesta), do 8. 10. Na vipavski hitri cesti bo do jutri zjutaj zaradi meritev promet oviran v obe smeri med Razdrtim in Šempetrom. Predvidena dela: - V Ljubljani na Šmartinski cesti, odsek Sneberje - Ljubljana, v križišču s cesto Trbeže, bo od 6. 10. 2022 do februarja 2023 promet zaradi gradnje krožišča potekal izmenično enosmerno. Pričakujemo zastoje. - Na primorski avtocesti med Divačo in Kozino bo predvidoma do 30. 11. promet potekal dvosmerno po eni polovici avtoceste. - Danes in jutri od 8. do 22. ure bo promet skozi predor Karavanke potekal izmenično enosmerno. - V Mengšu bo popolna zapora Slovenske ceste do 20. 4. 2023. Več o delovnih zaporah, prometna napoved.","Na štajerski avtocesti je zaradi nesreče oviran promet med Domžalami in Šentjakobom proti Ljubljani. Cesta Črnívec-Radmírje je zaradi zemeljskega plazu zaprta med Črnivcem in Novo Štifto. Zaradi del promet skozi predor Karavanke poteka izmenično enosmerno. Pred predorom je 6 kilometrov dolg zastoj tovornih vozil proti Avstriji. Na mejnem prehodu Obrežje vozniki tovornih vozil na vstop v državo čakajo več kot 2 uri, v Gruškovju in Zavrču pa 1 uro.",Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet med priključkom Celje-center in priključkom Celje-zahod. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo do 2 uri.
"B1: Zastoji Na gorenjski avtocesti pred cestninsko postajo Hrušica proti Avstriji, 1 kilometer. Ovire Megla zmanjšuje vidljivost na štajerski avtocesti med priključkoma Šentjakob in Domžale. Delo na cesti Cesta Ljubljana - Zadvor, v Sostrem, Litijska cesta bo zaprta predvidoma do 9. marca. Cesta Podtabor - Ljubelj je zaprta v Tržiču pri predorih. Čez prelaz Ljubelj proti Avstriji je dovoljeno samo za lokalni promet. Iz smeri Avstrije proti Sloveniji je promet možen do Podljubelja. Več o delovnih zaporah v prometni napovedi. Opozorila S 1. januarjem 2023 ni več mejnega nadzora na meji s Hrvaško. Vozite previdno, saj se na prehodih še vedno lahko pojavijo počasna ali stoječa vozila.",Na podravski avtocesti je zaradi prometrne nesreče oviran promet proti Mariboru med priključkom Hajdina in počivališčem Dravsko Polje. Na vipavski hitri cesti zaradi del promet med priključkom Šempeter in mejnim prehodom Vrtojba v obe smeri poteka po enem voznem pasu.,"Na štajerski avtocesti je zaradi del zaprt vozni pas med priključkom Celje-center in priključkom Celje-zahod. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo 1 uro, v Obrežju pa 1 uro."
"B1: Nesreče Na ljubljanski obvoznici na izvozu Industrijska cona Moste, oviran promet. Ovire Na gorenjski avtocesti je pred galerijo Moste proti Ljubljani zaprt vozni pas, predmeti po vozišču. Nastaja zastoj. Na cesti Dragonja - Koper je pri Grintovcu oviran promet zaradi okvare avtobusa. Zastoji Štajerska - Na štajerski avtocesti pred razcepom Dragučova iz smeri Šentilja, zamuda 1 - 2 uri. - Na vzporedni regionalni cesti med Šentiljem in Pesnico proti Mariboru. Primorska: - Na primorski avtocesti od Ljubljane proti Vrhniki, zamuda 10 minut. - Na cesti Dragonja - Šmarje - Koper v obe smeri, daljše čakanje zaradi okvare avtobusa. - Na cestah Izola - Jagodje in Lucija - Strunjan. Na gorenjski avtocesti od Jesenic proti Bledu, zamuda 10 minut. Delo na cesti Predvidoma do 26. juniji bosta na razcepu Dragučova pri Mariboru zaprta krak iz smeri Šentilja proti Murski Soboti in krak iz smeri Murske Sobote proti Ljubljani. Obvoz iz smeri Šentilja proti Murski Soboti je preko priključka Maribor center (Ptujska), iz smeri Murske Sobote proti Ljubljani pa preko rondoja Pesnica. Zaprta bo glavna cesta Logatec - Idrija pri Zali, v nedeljo, od 7. do 17. ure. Več o delovnih zaporah v prometni napovedi. Prireditve Glavna cesta Novo mesto - Metlika bo zaprta med Dolnjo Težko Vodo in Vinjo vasjo: - danes do 21. ure - v nedeljo, 25. 6. 2023, od 7. do 20. ure. Obvoz: Jugorje−Semič− Ručetna vas–Podturn–Soteska–Straža−Novo mesto in obratno. Cesta Podzemelj - Črnomelj bo v Črnomlju zaprta: - danes od 17. ure do 3. ure; - v nedeljo pa od 17. do 1. ure. Na glavni cesti Kobarid - Idrsko ter na cestah Idrsko - Livek - Livške Ravne - Kamberško bodo v nedeljo, 25. junija, med 9:30 in 11:30 kratkotrajne popolne zapore, od 30 do 60 minut, zaradi kolesarske prireditve. Tovorni promet Dodatna omejitev tovornega prometa čez poletje bo začela veljati ta konec tedna, 24. 6. 2023 in bo veljala do 3. 9. 2023. Omejitev bo ob sobotah od 8. do 13. ure, na nekaterih primorskih avtocestah in hitrih cestah ter ostalih cestah od 6. do 16. ure. Več.","Zaradi nesreče je na štajerski avtocesti proti Mariboru zaprt prehitevalni pas v predoru Jasovnik med priključkoma Trojane in Vransko. Na dolenjski avtocesti proti Ljubljani je zaradi srne, ki je zašla na vozišče, oviran promet med priključkoma Višnja Gora in Grosuplje. Gost promet z zastoji je na primorski avtocesti proti Kopru med priključkoma Brezovica in Vrhnika. Na avtocestnem odseku od Šentilja proti Mariboru je zaradi del daljši zastoj pred krožiščem Pesnica. Potovalni čas se podaljša za približno eno uro in 10 minut.
V obratni smeri, torej od Maribora proti Šentilju, pa je promet oviran zaradi pokvarjenega vozila. Do 13-ih, na cestah na Primorskem pa do 16-ih, velja prepoved prometa tovornih vozil, katerih največja dovoljena masa presega 7 ton in pol.",Na gorenjski avtocesti je zaradi nesreče na cesti Ljubljana - Ljubljana zaprt izvoz Brnik zaradi pokvarjenega vozila.
"B1: Ovire V Kranju je zaradi požara zaprto krožišče na Koroški in Bleiweisovi cesti. Delo na cesti Zaprta bo štajerska avtocesta med Blagovico in Vranskim proti Mariboru od nedelje, 15. 1. od 5. ure, do ponedeljka, 16. 1. do 5. ure. Zaprt bo tudi uvoz Trojane v smeri Ljubljane in Maribora. Na primorski hitri cesti je zaprt izvoz na priključku Semedela iz smeri Izole proti Kopru. Obvoz, tudi za vozila brez vinjete, je iz smeri Izole do priključka Koper center. Na cesti Podtabor - Ljubelj, v Tržiču pri predorih, je zaradi sanacije plazu promet možen samo za lokalni promet. Več o delovnih zaporah v prometni napovedi. Vreme Ponekod po Sloveniji megla v pasovih zmanjšuje vidljivost, previdno. Opozorila Na meji s Hrvaško ni več mejnega nadzora. Vozite previdno, saj se na prehodih še vedno lahko pojavijo počasna ali stoječa vozila.","V Kranju je zaradi požara zaprto krožišče na Bleiweisovi in Koroški cesti. Na vipavski hitri cesti promet zaradi del med priključkoma Šempeter in Vrtojba poteka dvosmerno po polovici hitre ceste. Ponekod po državi megla v pasovih zmanjšuje vidljivost. Voznikom svetujemo, da tam prilagodijo hitrost vožnje in povečajo varnostno razdaljo.","Zaradi del je na štajerski avtocesti zaprt vozni pas med priključkom Celje-center in priključkom Celje-zahod. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo 1 uro, v Gruškovju pa 1 uro."
"B1: Nesreče Podravska avtocesta med Gruškovjem in Zaklom proti Mariboru je ponovno prevozna po enem prometnem pasu. Ostaja zastoj. Na cesti Celje - Krško pri Velikem Širju promet poteka izmenično enosmerno Zastoji Na gorenjski avtocesti pred predorom Karavanke proti Avstriji, 2 km. Za Kranjsko Goro uporabite izvoz Jesenice vzhod, Lipce. Ovire Okvarjeno vozilo ovira promet na štajerski avtocesti pred Jasovnikom proti Ljubljani. Vreme Popolne zapore nekaterih cest zaradi poškodovanih vozišč: - Dravograd - Slovenj Gradec, v Otiškem Vrhu, Poljana - Mežica - Črna na Koroškem. - Dravograd - Libeliče, pri Tribeju. - Poljana - Šentvid, Koprivna - Črna, Šoštanj - Črna, pri Črni. - Črnova - Vojnik pri Lembergu pri Novi Cerkvi. - Ljubljana - Litija, pri Dolu. Za tovorna vozila obvoz po avtocesti. - Kamnik - Stahovica - Kamniška Bistrica in Kamnik - Gornji Grad. - Luče - Ljubno ob Savinji. Več o zaporah, na zemljevidu Slovenije. Zaprte so tudi številne druge lokalne ceste. Upoštevajte signalizacijo na vozišču. Razmere se ves čas spreminjajo. Vozniki, upoštevajte navodila dežurnih služb in ne vozite na poplavljena območja ali na zaprte ceste. Ponovno je odprta železniška povezava Celje - Velenje in Jesenice - Bohinjska Bistrica. Več. Tovorna vozila Omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 tone: - sobota, 12. avgust, med 8. in 13. uro, na primorskih cestah med 6. in 16. uro; - nedelja, 13. avgust med 8. in 22. uro; - torek, 15. avgust, med 8. in 22. uro. V ponedeljek, 14. avgusta, ni omejitve! Ostale dni med 12. in 15. avgustom omejitev ne bo veljala za vozila, ki sodelujejo pri odpravljanju posledic poplav. Delo na cesti Več o delovnih zaporah v prometni napovedi. Od nedelje do četrtka, 31. 8., bo na severni ljubljanski obvoznici zaprt uvoz iz Leskovškove ceste proti Tomačevem.","Podravska avtocesta je zaradi prometne nesreče zaprta med Gruškovjem in Zaklom proti Mariboru. Nastaja zastoj do Hrvaške meje. Voznikom osebnih vozil priporočamo prehod preko drugih mejnih prehodov. Hkrati pa voznike opozarjamo, naj ne zapuščajo svojih vozil v zastoju in naj puščajo prosto pot za intervencijska vozila. Gost promet z zastoji je na primorski avtocesti na več odsekih med Postojno in Brezovico proti Ljubljani. Čas potovanja se podaljša za pol ure. Zastoji so tudi na zahodni ljubljanski obvoznici proti Primorski ter na južni ljubljanski obvoznici proti Dolenjski. Pred predorom Karavanke je približno 4 kilometre dolg zastoj proti Avstriji. Voznikom, ki so namenjeni proti Kranjski Gori, svetujemo izvoz Jesenice-vzhod.","Zaradi prometne nesreče je na štajerski avtocesti med priključku Celje-zahod zaprt vozni pas zaradi pokvarjenega vozila.

Zaradi prometne nesreče je na štajerski avtocesti med priključku Celje-zahod v predoru Karavanke zaradi pokvarjenega vozila oviran promet med priključkom Celje-zahod in priključkom Celje-zahod.


Zaradi nesreče je na štajerski avtocesti med priključkoma Celje-zahod in priključkom Celje-zahod v obe"
"B1: Ovire Na primorski avtocesti je na počasnem pasu v razcepu Srmin okvarjeno vozilo v okvari. Na gorenjski avtocesti je pred uvozom Brnik proti Avstriji oviran promet zaradi okvare vozila. Delo na cesti Gorenjska avtocesta: - Danes ponoči bo med 20. in 5. uro, zaprt predor Šentvid v obe smeri. Obvoz bo po Celovški cesti. - Zaprt je uvoz v predror Šentvid,s Celovške ceste proti Kosezam. V Vodicah bo od 14. do 18. maja zaprta cesta Brnik - Vodice - Šmartno zaradi obnove vozišča. Na cesti Zbilje - Vodice - Moste pa bo promet urejen izmenično enosmerno. Cesta Jereka - Jezero bo pri Studorju v Bohinju zaprta do konca junija. Obvoz skozi Bohinjsko Bistrico. Od ponedeljka do sobote bodo nočne popolne zapore, med 19. in 6. uro, na italijanski strani prelaza Predel predvidoma do 28. maja.",Na obalni hitri cesti je v predoru Markovec promet v obe smeri oviran zaradi del. Na gorenjski avtocesti proti Ljubljani je zaradi del v predoru Šentvid zaprt uvoz s Celovške ceste. Na štajerski avtocesti proti Mariboru promet ni več oviran med Trojanami in Vranskim. Pred predorom Ločica je še vedno krajši zastoj.,Na primorski avtocesti je zaradi pokvarjenega vozila oviran promet med priključkom Črni Vrh in priključkom Črni Vrh proti Ljubljani. Na mejnem prehodu Gruškovje vozniki osebnih vozil na vstop v državo čakajo približno pol ure.
